,date,store,product_c,sales
241949,2018-08-12,S023,1880109251922,6.0
241950,2018-08-13,S023,1880109251922,6.0
241951,2018-08-14,S023,1880109251922,9.0
241952,2018-08-15,S023,1880109251922,11.0
241953,2018-08-16,S023,1880109251922,5.0
241954,2018-08-17,S023,1880109251922,6.0
241955,2018-08-18,S023,1880109251922,11.0
241956,2018-08-19,S023,1880109251922,17.0
241957,2018-08-20,S023,1880109251922,10.0
241958,2018-08-21,S023,1880109251922,9.0
241959,2018-08-22,S023,1880109251922,10.0
241960,2018-08-23,S023,1880109251922,6.0
241961,2018-08-24,S023,1880109251922,12.0
241962,2018-08-25,S023,1880109251922,5.0
241963,2018-08-26,S023,1880109251922,6.0
241964,2018-08-27,S023,1880109251922,15.0
241965,2018-08-28,S023,1880109251922,15.0
241966,2018-08-29,S023,1880109251922,21.0
241967,2018-08-30,S023,1880109251922,16.0
241968,2018-08-31,S023,1880109251922,21.0
241969,2018-09-01,S023,1880109251922,13.0
241970,2018-09-02,S023,1880109251922,13.0
241971,2018-09-03,S023,1880109251922,264.0
241972,2018-09-04,S023,1880109251922,154.0
241973,2018-09-05,S023,1880109251922,296.0
241974,2018-09-06,S023,1880109251922,331.0
241975,2018-09-07,S023,1880109251922,18.0
241976,2018-09-08,S023,1880109251922,8.0
241977,2018-09-09,S023,1880109251922,7.0
241978,2018-09-10,S023,1880109251922,9.0
241979,2018-09-11,S023,1880109251922,3.0
241980,2018-09-12,S023,1880109251922,6.0
241981,2018-09-13,S023,1880109251922,6.0
241982,2018-09-14,S023,1880109251922,31.0
241983,2018-09-15,S023,1880109251922,13.0
241984,2018-09-16,S023,1880109251922,14.0
241985,2018-09-17,S023,1880109251922,830.0
241986,2018-09-18,S023,1880109251922,47.0
241987,2018-09-19,S023,1880109251922,25.0
241988,2018-09-20,S023,1880109251922,16.0
241989,2018-09-21,S023,1880109251922,1.0
241990,2018-09-23,S023,1880109251922,2.0
241991,2018-09-26,S023,1880109251922,2.0
241992,2018-09-27,S023,1880109251922,1.0
241993,2018-09-28,S023,1880109251922,2.0
241994,2018-09-29,S023,1880109251922,3.0
241995,2018-10-01,S023,1880109251922,15.0
241996,2018-10-02,S023,1880109251922,11.0
241997,2018-10-03,S023,1880109251922,14.0
241998,2018-10-04,S023,1880109251922,18.0
241999,2018-10-05,S023,1880109251922,10.0
242000,2018-10-06,S023,1880109251922,8.0
242001,2018-10-07,S023,1880109251922,10.0
242002,2018-10-08,S023,1880109251922,10.0
242003,2018-10-09,S023,1880109251922,5.0
242004,2018-10-10,S023,1880109251922,17.0
242005,2018-10-11,S023,1880109251922,6.0
242006,2018-10-12,S023,1880109251922,6.0
242007,2018-10-13,S023,1880109251922,12.0
242008,2018-10-14,S023,1880109251922,6.0
242009,2018-10-15,S023,1880109251922,7.0
242010,2018-10-16,S023,1880109251922,11.0
242011,2018-10-17,S023,1880109251922,4.0
242012,2018-10-18,S023,1880109251922,11.0
242013,2018-10-19,S023,1880109251922,9.0
242014,2018-10-20,S023,1880109251922,8.0
242015,2018-10-21,S023,1880109251922,6.0
242016,2018-10-22,S023,1880109251922,50.0
242017,2018-10-23,S023,1880109251922,38.0
242018,2018-10-24,S023,1880109251922,53.0
242019,2018-10-25,S023,1880109251922,59.0
242020,2018-10-26,S023,1880109251922,41.0
242021,2018-10-27,S023,1880109251922,34.0
242022,2018-10-28,S023,1880109251922,70.0
242023,2018-10-29,S023,1880109251922,375.0
242024,2018-10-30,S023,1880109251922,53.0
242025,2018-10-31,S023,1880109251922,45.0
242026,2018-11-01,S023,1880109251922,93.0
242027,2018-11-02,S023,1880109251922,39.0
242028,2018-11-03,S023,1880109251922,48.0
242029,2018-11-04,S023,1880109251922,75.0
242030,2018-11-05,S023,1880109251922,43.0
242031,2018-11-06,S023,1880109251922,4.0
242032,2018-11-07,S023,1880109251922,12.0
242033,2018-11-08,S023,1880109251922,14.0
242034,2018-11-09,S023,1880109251922,13.0
242035,2018-11-10,S023,1880109251922,4.0
242036,2018-11-11,S023,1880109251922,5.0
242037,2018-11-12,S023,1880109251922,2.0
242038,2018-11-13,S023,1880109251922,4.0
242039,2018-11-14,S023,1880109251922,23.0
242040,2018-11-15,S023,1880109251922,8.0
242041,2018-11-16,S023,1880109251922,12.0
242042,2018-11-17,S023,1880109251922,6.0
242043,2018-11-18,S023,1880109251922,19.0
242044,2018-11-19,S023,1880109251922,863.0
242045,2018-11-20,S023,1880109251922,16.0
242046,2018-11-21,S023,1880109251922,22.0
242047,2018-11-22,S023,1880109251922,16.0
242048,2018-11-23,S023,1880109251922,13.0
242049,2018-11-24,S023,1880109251922,4.0
242050,2018-11-25,S023,1880109251922,14.0
242051,2018-11-26,S023,1880109251922,15.0
242052,2018-11-27,S023,1880109251922,11.0
242053,2018-11-28,S023,1880109251922,7.0
242054,2018-11-29,S023,1880109251922,11.0
242055,2018-11-30,S023,1880109251922,12.0
242056,2018-12-01,S023,1880109251922,23.0
242057,2018-12-02,S023,1880109251922,31.0
242058,2018-12-03,S023,1880109251922,25.0
242059,2018-12-04,S023,1880109251922,32.0
242060,2018-12-05,S023,1880109251922,862.0
242061,2018-12-06,S023,1880109251922,19.0
242062,2018-12-07,S023,1880109251922,6.0
242063,2018-12-08,S023,1880109251922,7.0
242064,2018-12-09,S023,1880109251922,12.0
242065,2018-12-10,S023,1880109251922,11.0
242066,2018-12-11,S023,1880109251922,9.0
242067,2018-12-12,S023,1880109251922,7.0
242068,2018-12-13,S023,1880109251922,6.0
242069,2018-12-14,S023,1880109251922,12.0
242070,2018-12-15,S023,1880109251922,5.0
242071,2018-12-16,S023,1880109251922,17.0
242072,2018-12-17,S023,1880109251922,13.0
242073,2018-12-18,S023,1880109251922,6.0
242074,2018-12-19,S023,1880109251922,19.0
242075,2018-12-20,S023,1880109251922,16.0
242076,2018-12-21,S023,1880109251922,9.0
242077,2018-12-22,S023,1880109251922,6.0
242078,2018-12-23,S023,1880109251922,7.0
242079,2018-12-24,S023,1880109251922,5.0
242080,2018-12-25,S023,1880109251922,24.0
242081,2018-12-26,S023,1880109251922,41.0
242082,2018-12-27,S023,1880109251922,17.0
242083,2018-12-28,S023,1880109251922,13.0
242084,2018-12-29,S023,1880109251922,12.0
242085,2018-12-30,S023,1880109251922,17.0
242086,2018-12-31,S023,1880109251922,9.0
242087,2019-01-25,S023,1880109251922,19.0
242088,2019-01-26,S023,1880109251922,5.0
242089,2019-01-27,S023,1880109251922,22.0
242090,2019-01-28,S023,1880109251922,18.0
242091,2019-01-29,S023,1880109251922,15.0
242092,2019-01-30,S023,1880109251922,10.0
242093,2019-01-31,S023,1880109251922,10.0
242094,2019-02-01,S023,1880109251922,16.0
242095,2019-02-02,S023,1880109251922,10.0
242096,2019-02-03,S023,1880109251922,4.0
242097,2019-02-04,S023,1880109251922,9.0
242098,2019-02-05,S023,1880109251922,21.0
242099,2019-02-06,S023,1880109251922,22.0
242100,2019-02-07,S023,1880109251922,27.0
242101,2019-02-08,S023,1880109251922,13.0
242102,2019-02-09,S023,1880109251922,35.0
242103,2019-02-10,S023,1880109251922,19.0
242104,2019-02-11,S023,1880109251922,32.0
242105,2019-02-12,S023,1880109251922,20.0
242106,2019-02-13,S023,1880109251922,2082.0
242107,2019-02-14,S023,1880109251922,12.0
242108,2019-02-15,S023,1880109251922,23.0
242109,2019-02-16,S023,1880109251922,15.0
242110,2019-02-17,S023,1880109251922,15.0
242111,2019-02-18,S023,1880109251922,13.0
242112,2019-02-19,S023,1880109251922,39.0
242113,2019-02-20,S023,1880109251922,18.0
242114,2019-02-21,S023,1880109251922,15.0
242115,2019-02-22,S023,1880109251922,22.0
242116,2019-02-23,S023,1880109251922,23.0
242117,2019-02-24,S023,1880109251922,17.0
242118,2019-02-25,S023,1880109251922,32.0
242119,2019-02-26,S023,1880109251922,26.0
242120,2019-02-27,S023,1880109251922,49.0
242121,2019-02-28,S023,1880109251922,35.0
242122,2019-03-01,S023,1880109251922,43.0
242123,2019-03-02,S023,1880109251922,28.0
242124,2019-03-03,S023,1880109251922,35.0
242125,2019-03-04,S023,1880109251922,61.0
242126,2019-03-05,S023,1880109251922,67.0
242127,2019-03-06,S023,1880109251922,55.0
242128,2019-03-07,S023,1880109251922,24.0
242129,2019-03-08,S023,1880109251922,17.0
242130,2019-03-09,S023,1880109251922,26.0
242131,2019-03-10,S023,1880109251922,1887.0
242132,2019-03-11,S023,1880109251922,0.0
242133,2019-03-12,S023,1880109251922,4.0
242134,2019-03-13,S023,1880109251922,7.0
242135,2019-03-14,S023,1880109251922,21.0
242136,2019-03-15,S023,1880109251922,10.0
242137,2019-03-16,S023,1880109251922,10.0
242138,2019-03-17,S023,1880109251922,18.0
242139,2019-03-18,S023,1880109251922,21.0
242140,2019-03-19,S023,1880109251922,10.0
242141,2019-03-20,S023,1880109251922,14.0
242142,2019-03-21,S023,1880109251922,14.0
242143,2019-03-22,S023,1880109251922,4.0
242144,2019-03-23,S023,1880109251922,8.0
242145,2019-03-24,S023,1880109251922,4.0
242146,2019-03-25,S023,1880109251922,11.0
242147,2019-03-26,S023,1880109251922,20.0
242148,2019-03-27,S023,1880109251922,16.0
242149,2019-03-28,S023,1880109251922,7.0
242150,2019-03-29,S023,1880109251922,14.0
242151,2019-03-30,S023,1880109251922,16.0
242152,2019-03-31,S023,1880109251922,15.0
242153,2019-04-01,S023,1880109251922,36.0
242154,2019-04-02,S023,1880109251922,27.0
242155,2019-04-03,S023,1880109251922,22.0
242156,2019-04-04,S023,1880109251922,21.0
242157,2019-04-05,S023,1880109251922,13.0
242158,2019-04-06,S023,1880109251922,23.0
242159,2019-04-07,S023,1880109251922,14.0
242160,2019-04-08,S023,1880109251922,67.0
242161,2019-04-09,S023,1880109251922,56.0
242162,2019-04-10,S023,1880109251922,39.0
242163,2019-04-11,S023,1880109251922,44.0
242164,2019-04-12,S023,1880109251922,25.0
242165,2019-04-13,S023,1880109251922,17.0
242166,2019-04-14,S023,1880109251922,47.0
242167,2019-04-15,S023,1880109251922,40.0
242168,2019-04-16,S023,1880109251922,40.0
242169,2019-04-17,S023,1880109251922,25.0
242170,2019-04-18,S023,1880109251922,20.0
242171,2019-04-19,S023,1880109251922,18.0
242172,2019-04-20,S023,1880109251922,15.0
242173,2019-04-21,S023,1880109251922,21.0
242174,2019-04-22,S023,1880109251922,26.0
242175,2019-04-23,S023,1880109251922,26.0
242176,2019-04-24,S023,1880109251922,26.0
242177,2019-04-25,S023,1880109251922,22.0
242178,2019-04-26,S023,1880109251922,22.0
242179,2019-04-27,S023,1880109251922,11.0
242180,2019-04-28,S023,1880109251922,19.0
242181,2019-04-29,S023,1880109251922,40.0
242182,2019-04-30,S023,1880109251922,4.0
242183,2019-05-02,S023,1880109251922,29.0
242184,2019-05-03,S023,1880109251922,5.0
242185,2019-05-08,S023,1880109251922,8.0
242186,2019-05-09,S023,1880109251922,8.0
242187,2019-05-11,S023,1880109251922,22.0
242188,2019-05-13,S023,1880109251922,43.0
242189,2019-05-14,S023,1880109251922,70.0
242190,2019-05-15,S023,1880109251922,54.0
242191,2019-05-16,S023,1880109251922,33.0
242192,2019-05-17,S023,1880109251922,26.0
242193,2019-05-20,S023,1880109251922,29.0
242194,2019-05-21,S023,1880109251922,3.0
242195,2019-05-22,S023,1880109251922,48.0
242196,2019-05-23,S023,1880109251922,39.0
242197,2019-05-24,S023,1880109251922,22.0
242198,2019-05-27,S023,1880109251922,72.0
242199,2019-05-28,S023,1880109251922,33.0
242200,2019-05-29,S023,1880109251922,26.0
242201,2019-05-31,S023,1880109251922,77.0
242202,2019-06-01,S023,1880109251922,10.0
242203,2019-06-02,S023,1880109251922,12.0
242204,2019-06-03,S023,1880109251922,47.0
242205,2019-06-04,S023,1880109251922,23.0
242206,2019-06-06,S023,1880109251922,459.0
242207,2019-06-07,S023,1880109251922,1425.0
242208,2019-06-09,S023,1880109251922,1315.0
242209,2019-06-11,S023,1880109251922,36.0
242210,2019-06-12,S023,1880109251922,156.0
242211,2019-06-13,S023,1880109251922,50.0
242212,2019-06-14,S023,1880109251922,51.0
242213,2019-06-17,S023,1880109251922,75.0
242214,2019-06-18,S023,1880109251922,60.0
242215,2019-06-19,S023,1880109251922,32.0
242216,2019-06-20,S023,1880109251922,31.0
242217,2019-06-21,S023,1880109251922,42.0
242218,2019-06-22,S023,1880109251922,1.0
242219,2019-06-23,S023,1880109251922,1.0
242220,2019-06-24,S023,1880109251922,23.0
242221,2019-06-25,S023,1880109251922,89.0
242222,2019-06-26,S023,1880109251922,38.0
242223,2019-06-27,S023,1880109251922,50.0
242224,2019-06-28,S023,1880109251922,18.0
242225,2019-07-01,S023,1880109251922,57.0
242226,2019-07-02,S023,1880109251922,44.0
242227,2019-07-03,S023,1880109251922,27.0
242228,2019-07-04,S023,1880109251922,20.0
242229,2019-07-05,S023,1880109251922,14.0
242230,2019-07-08,S023,1880109251922,28.0
242231,2019-07-09,S023,1880109251922,45.0
242232,2019-07-10,S023,1880109251922,12.0
242233,2019-07-11,S023,1880109251922,17.0
242234,2019-07-12,S023,1880109251922,21.0
242235,2019-07-14,S023,1880109251922,2.0
242236,2019-07-15,S023,1880109251922,10.0
242237,2019-07-16,S023,1880109251922,26.0
242238,2019-07-17,S023,1880109251922,15.0
242239,2019-07-18,S023,1880109251922,10.0
242240,2019-07-19,S023,1880109251922,13.0
242241,2019-07-22,S023,1880109251922,25.0
242242,2019-07-23,S023,1880109251922,22.0
242243,2019-07-24,S023,1880109251922,10.0
242244,2019-07-25,S023,1880109251922,16.0
242245,2019-07-26,S023,1880109251922,21.0
242246,2019-07-29,S023,1880109251922,36.0
242247,2019-07-30,S023,1880109251922,4.0
242248,2019-07-31,S023,1880109251922,24.0
